IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.151.69,3,3,0.00,167.38,0.00,N/A
108.162.198.166,3,3,0.00,167.83,0.00,N/A
104.17.132.205,3,3,0.00,167.85,0.00,N/A
104.17.141.71,3,3,0.00,167.86,0.00,N/A
104.17.158.64,3,3,0.00,168.88,0.00,N/A
104.21.236.190,3,3,0.00,169.12,0.00,N/A
104.17.152.209,3,3,0.00,169.50,0.00,N/A
104.21.233.192,3,3,0.00,170.83,0.00,N/A
162.159.160.124,3,3,0.00,171.61,0.00,N/A
104.17.146.199,3,3,0.00,172.96,0.00,N/A
104.17.148.243,3,3,0.00,173.32,0.00,N/A
104.21.234.190,3,3,0.00,173.56,0.00,N/A
104.17.157.210,3,3,0.00,174.17,0.00,N/A
172.66.214.176,3,3,0.00,174.53,0.00,N/A
104.21.226.146,3,3,0.00,176.72,0.00,N/A
104.17.136.152,3,3,0.00,177.68,0.00,N/A
162.159.224.45,3,3,0.00,178.21,0.00,N/A
104.21.231.102,3,3,0.00,178.34,0.00,N/A
104.17.133.16,3,3,0.00,179.32,0.00,N/A
104.29.125.62,3,3,0.00,179.90,0.00,N/A
198.41.219.5,3,3,0.00,179.98,0.00,N/A
172.66.208.180,3,3,0.00,180.43,0.00,N/A
104.29.143.95,3,3,0.00,180.81,0.00,N/A
104.21.229.102,3,3,0.00,181.16,0.00,N/A
104.18.55.113,3,3,0.00,181.68,0.00,N/A
104.21.225.17,3,3,0.00,182.50,0.00,N/A
104.17.159.69,3,3,0.00,182.51,0.00,N/A
104.21.232.86,3,3,0.00,183.48,0.00,N/A
104.18.58.176,3,3,0.00,183.80,0.00,N/A
104.17.145.146,3,3,0.00,183.91,0.00,N/A
104.25.73.82,3,3,0.00,184.33,0.00,N/A
104.17.128.155,3,3,0.00,185.11,0.00,N/A
104.18.60.99,3,3,0.00,185.18,0.00,N/A
104.21.237.85,3,3,0.00,185.33,0.00,N/A
172.64.234.131,3,3,0.00,185.91,0.00,N/A
104.27.53.58,3,3,0.00,186.85,0.00,N/A
104.19.242.141,3,3,0.00,186.95,0.00,N/A
104.17.156.162,3,3,0.00,187.06,0.00,N/A
104.27.13.190,3,3,0.00,187.14,0.00,N/A
104.24.247.36,3,3,0.00,187.24,0.00,N/A
172.66.194.253,3,3,0.00,187.31,0.00,N/A
104.21.230.247,3,3,0.00,187.46,0.00,N/A
172.64.86.99,3,3,0.00,187.65,0.00,N/A
104.17.140.142,3,3,0.00,187.68,0.00,N/A
162.159.234.180,3,3,0.00,187.96,0.00,N/A
104.21.217.60,3,3,0.00,188.43,0.00,N/A
104.24.0.222,3,3,0.00,188.45,0.00,N/A
103.31.4.225,3,3,0.00,188.50,0.00,N/A
104.21.49.181,3,3,0.00,188.59,0.00,N/A
104.24.128.246,3,3,0.00,188.73,0.00,N/A
104.18.204.152,3,3,0.00,188.75,0.00,N/A
104.16.238.9,3,3,0.00,188.96,0.00,N/A
104.24.157.238,3,3,0.00,189.09,0.00,N/A
104.18.74.26,3,3,0.00,189.13,0.00,N/A
104.29.111.205,3,3,0.00,189.72,0.00,N/A
172.67.110.238,3,3,0.00,189.90,0.00,N/A
104.18.17.120,3,3,0.00,189.90,0.00,N/A
172.65.101.158,3,3,0.00,190.00,0.00,N/A
104.25.39.194,3,3,0.00,190.29,0.00,N/A
104.17.135.180,3,3,0.00,190.35,0.00,N/A
104.20.39.184,3,3,0.00,190.47,0.00,N/A
172.66.162.0,3,3,0.00,190.63,0.00,N/A
104.17.51.131,3,3,0.00,190.75,0.00,N/A
104.24.197.182,3,3,0.00,190.91,0.00,N/A
104.27.97.50,3,3,0.00,191.07,0.00,N/A
104.27.111.178,3,3,0.00,191.08,0.00,N/A
104.19.126.150,3,3,0.00,191.09,0.00,N/A
104.17.167.220,3,3,0.00,191.36,0.00,N/A
104.17.215.235,3,3,0.00,191.38,0.00,N/A
104.21.108.181,3,3,0.00,191.52,0.00,N/A
104.25.190.218,3,3,0.00,191.55,0.00,N/A
104.20.38.201,3,3,0.00,191.70,0.00,N/A
104.18.202.195,3,3,0.00,191.71,0.00,N/A
104.19.53.197,3,3,0.00,191.92,0.00,N/A
104.20.15.134,3,3,0.00,192.13,0.00,N/A
104.16.243.147,3,3,0.00,192.22,0.00,N/A
104.18.218.222,3,3,0.00,192.23,0.00,N/A
104.24.71.23,3,3,0.00,192.38,0.00,N/A
172.66.192.120,3,3,0.00,192.39,0.00,N/A
104.21.228.141,3,3,0.00,192.50,0.00,N/A
104.25.130.239,3,3,0.00,192.65,0.00,N/A
104.19.79.81,3,3,0.00,193.02,0.00,N/A
104.21.210.132,3,3,0.00,193.05,0.00,N/A
104.18.239.117,3,3,0.00,193.24,0.00,N/A
104.27.57.210,3,3,0.00,193.33,0.00,N/A
104.27.47.100,3,3,0.00,193.34,0.00,N/A
172.66.45.38,3,3,0.00,193.45,0.00,N/A
104.17.18.15,3,3,0.00,193.66,0.00,N/A
198.41.215.75,3,3,0.00,193.71,0.00,N/A
172.67.147.84,3,3,0.00,193.73,0.00,N/A
162.159.250.196,3,3,0.00,193.76,0.00,N/A
104.16.232.53,3,3,0.00,193.78,0.00,N/A
104.19.178.185,3,3,0.00,193.87,0.00,N/A
104.24.246.172,3,3,0.00,193.92,0.00,N/A
104.24.1.226,3,3,0.00,194.25,0.00,N/A
104.16.114.138,3,3,0.00,194.31,0.00,N/A
104.18.62.67,3,3,0.00,194.37,0.00,N/A
104.25.238.92,3,3,0.00,194.40,0.00,N/A
104.17.164.42,3,3,0.00,194.40,0.00,N/A
104.24.221.89,3,3,0.00,194.57,0.00,N/A
172.64.186.136,3,3,0.00,194.59,0.00,N/A
172.67.120.3,3,3,0.00,194.64,0.00,N/A
104.16.13.90,3,3,0.00,194.68,0.00,N/A
104.16.166.236,3,3,0.00,194.75,0.00,N/A
104.27.16.230,3,3,0.00,195.01,0.00,N/A
172.66.203.45,3,3,0.00,195.10,0.00,N/A
172.65.120.33,3,3,0.00,195.11,0.00,N/A
104.25.19.69,3,3,0.00,195.15,0.00,N/A
104.24.12.150,3,3,0.00,195.17,0.00,N/A
104.18.61.25,3,3,0.00,195.24,0.00,N/A
104.19.109.162,3,3,0.00,195.26,0.00,N/A
104.16.212.237,3,3,0.00,195.28,0.00,N/A
172.65.201.217,3,3,0.00,195.51,0.00,N/A
104.20.8.170,3,3,0.00,195.52,0.00,N/A
104.29.152.175,3,3,0.00,195.58,0.00,N/A
172.67.146.249,3,3,0.00,195.59,0.00,N/A
104.16.29.135,3,3,0.00,195.88,0.00,N/A
162.159.192.8,3,3,0.00,195.99,0.00,N/A
104.18.75.29,3,3,0.00,196.23,0.00,N/A
104.24.47.56,3,3,0.00,196.30,0.00,N/A
104.25.127.177,3,3,0.00,196.40,0.00,N/A
104.24.216.178,3,3,0.00,196.43,0.00,N/A
172.65.157.218,3,3,0.00,196.44,0.00,N/A
104.19.176.175,3,3,0.00,196.46,0.00,N/A
104.16.12.2,3,3,0.00,196.51,0.00,N/A
172.67.157.134,3,3,0.00,196.51,0.00,N/A
104.25.70.146,3,3,0.00,196.59,0.00,N/A
104.16.161.6,3,3,0.00,196.59,0.00,N/A
104.17.211.53,3,3,0.00,196.67,0.00,N/A
104.16.99.84,3,3,0.00,196.96,0.00,N/A
172.65.32.87,3,3,0.00,197.21,0.00,N/A
104.16.169.225,3,3,0.00,197.39,0.00,N/A
162.159.242.136,3,3,0.00,197.42,0.00,N/A
172.65.178.122,3,3,0.00,197.43,0.00,N/A
104.25.97.123,3,3,0.00,197.52,0.00,N/A
104.24.87.33,3,3,0.00,197.57,0.00,N/A
104.21.235.0,3,3,0.00,197.68,0.00,N/A
104.25.108.105,3,3,0.00,197.72,0.00,N/A
172.66.128.199,3,3,0.00,197.84,0.00,N/A
104.24.24.250,3,3,0.00,197.85,0.00,N/A
104.20.5.205,3,3,0.00,197.94,0.00,N/A
104.18.92.186,3,3,0.00,197.96,0.00,N/A
104.24.19.143,3,3,0.00,197.96,0.00,N/A
172.65.99.105,3,3,0.00,198.03,0.00,N/A
104.16.24.98,3,3,0.00,198.07,0.00,N/A
141.101.113.110,3,3,0.00,198.39,0.00,N/A
104.25.244.227,3,3,0.00,198.41,0.00,N/A
172.66.213.76,3,3,0.00,198.52,0.00,N/A
172.64.43.87,3,3,0.00,198.56,0.00,N/A
104.24.231.100,3,3,0.00,198.60,0.00,N/A
104.19.161.3,3,3,0.00,198.73,0.00,N/A
104.25.143.190,3,3,0.00,198.74,0.00,N/A
162.159.35.171,3,3,0.00,198.93,0.00,N/A
172.65.106.135,3,3,0.00,199.36,0.00,N/A
162.159.43.152,3,3,0.00,199.38,0.00,N/A
172.65.35.134,3,3,0.00,199.38,0.00,N/A
162.159.49.62,3,3,0.00,199.46,0.00,N/A
104.19.64.50,3,3,0.00,199.46,0.00,N/A
104.25.12.170,3,3,0.00,199.64,0.00,N/A
172.65.158.237,3,3,0.00,199.80,0.00,N/A
104.21.218.193,3,3,0.00,199.96,0.00,N/A
104.27.32.229,3,3,0.00,200.00,0.00,N/A
104.16.207.252,3,3,0.00,200.09,0.00,N/A
172.64.69.29,3,3,0.00,200.17,0.00,N/A
104.16.72.100,3,3,0.00,200.24,0.00,N/A
104.21.219.99,3,3,0.00,200.39,0.00,N/A
104.19.89.152,3,3,0.00,200.55,0.00,N/A
172.65.96.251,3,3,0.00,200.70,0.00,N/A
104.24.249.201,3,3,0.00,200.94,0.00,N/A
104.17.170.79,3,3,0.00,200.97,0.00,N/A
104.16.211.173,3,3,0.00,201.06,0.00,N/A
104.21.109.30,3,3,0.00,201.63,0.00,N/A
104.19.243.249,3,3,0.00,201.88,0.00,N/A
104.18.47.253,3,3,0.00,202.09,0.00,N/A
104.16.59.29,3,3,0.00,202.44,0.00,N/A
104.17.61.72,3,3,0.00,202.50,0.00,N/A
172.65.185.230,3,3,0.00,202.54,0.00,N/A
104.18.242.225,3,3,0.00,202.61,0.00,N/A
172.67.218.93,3,3,0.00,202.91,0.00,N/A
104.17.43.28,3,3,0.00,203.18,0.00,N/A
104.20.32.42,3,3,0.00,203.46,0.00,N/A
104.25.36.37,3,3,0.00,203.81,0.00,N/A
104.24.178.235,3,3,0.00,203.90,0.00,N/A
104.24.43.124,3,3,0.00,204.13,0.00,N/A
104.29.135.40,3,3,0.00,204.74,0.00,N/A
104.18.54.53,3,3,0.00,205.33,0.00,N/A
162.159.231.48,3,3,0.00,205.42,0.00,N/A
104.18.57.226,3,3,0.00,205.74,0.00,N/A
104.17.125.201,3,3,0.00,206.42,0.00,N/A
104.17.245.118,3,3,0.00,207.80,0.00,N/A
104.17.193.229,3,3,0.00,208.67,0.00,N/A
172.64.190.14,3,3,0.00,209.26,0.00,N/A
104.17.204.234,3,3,0.00,209.77,0.00,N/A
172.66.210.15,3,3,0.00,210.13,0.00,N/A
104.24.17.182,3,3,0.00,210.40,0.00,N/A
104.18.23.140,3,3,0.00,210.69,0.00,N/A
104.18.201.94,3,3,0.00,211.90,0.00,N/A
104.29.154.74,3,3,0.00,212.57,0.00,N/A
104.19.83.23,3,3,0.00,212.90,0.00,N/A
172.65.21.239,3,3,0.00,213.09,0.00,N/A
104.17.225.55,3,3,0.00,213.25,0.00,N/A
104.24.62.123,3,3,0.00,213.28,0.00,N/A
198.41.204.175,3,3,0.00,214.08,0.00,N/A
104.16.74.149,3,3,0.00,214.82,0.00,N/A
104.17.232.77,3,3,0.00,214.94,0.00,N/A
172.64.184.5,3,3,0.00,214.95,0.00,N/A
104.19.38.237,3,3,0.00,215.30,0.00,N/A
162.159.243.19,3,3,0.00,215.33,0.00,N/A
172.66.217.180,3,3,0.00,215.62,0.00,N/A
104.18.131.27,3,3,0.00,216.55,0.00,N/A
104.17.227.98,3,3,0.00,216.58,0.00,N/A
104.17.120.204,3,3,0.00,216.94,0.00,N/A
162.159.240.166,3,3,0.00,216.94,0.00,N/A
172.64.41.222,3,3,0.00,217.05,0.00,N/A
104.19.245.132,3,3,0.00,217.15,0.00,N/A
104.27.7.86,3,3,0.00,217.18,0.00,N/A
104.21.79.219,3,3,0.00,217.19,0.00,N/A
104.21.99.89,3,3,0.00,217.24,0.00,N/A
104.19.226.82,3,3,0.00,217.28,0.00,N/A
172.67.228.118,3,3,0.00,217.39,0.00,N/A
104.25.141.195,3,3,0.00,217.40,0.00,N/A
104.19.94.103,3,3,0.00,217.71,0.00,N/A
198.41.194.153,3,3,0.00,217.83,0.00,N/A
162.159.253.16,3,3,0.00,217.86,0.00,N/A
104.18.70.182,3,3,0.00,217.91,0.00,N/A
104.20.50.85,3,3,0.00,217.93,0.00,N/A
104.21.211.157,3,3,0.00,218.00,0.00,N/A
104.19.58.170,3,3,0.00,218.03,0.00,N/A
104.24.237.4,3,3,0.00,218.09,0.00,N/A
104.25.212.33,3,3,0.00,218.28,0.00,N/A
172.65.107.147,3,3,0.00,218.36,0.00,N/A
104.24.233.176,3,3,0.00,218.44,0.00,N/A
172.66.141.223,3,3,0.00,218.68,0.00,N/A
172.67.183.30,3,3,0.00,218.70,0.00,N/A
104.16.156.162,3,3,0.00,218.75,0.00,N/A
104.20.3.140,3,3,0.00,218.90,0.00,N/A
172.66.165.211,3,3,0.00,219.04,0.00,N/A
162.159.57.110,3,3,0.00,219.07,0.00,N/A
172.64.78.230,3,3,0.00,219.07,0.00,N/A
104.16.186.72,3,3,0.00,219.08,0.00,N/A
104.25.253.166,3,3,0.00,219.47,0.00,N/A
104.19.125.110,3,3,0.00,219.59,0.00,N/A
104.17.224.214,3,3,0.00,219.75,0.00,N/A
104.19.98.120,3,3,0.00,219.82,0.00,N/A
104.19.106.7,3,3,0.00,219.92,0.00,N/A
104.18.24.100,3,3,0.00,219.95,0.00,N/A
104.18.177.5,3,3,0.00,220.00,0.00,N/A
104.27.101.231,3,3,0.00,220.02,0.00,N/A
104.24.82.96,3,3,0.00,220.08,0.00,N/A
172.67.173.151,3,3,0.00,220.17,0.00,N/A
104.18.217.254,3,3,0.00,220.20,0.00,N/A
104.21.8.117,3,3,0.00,220.26,0.00,N/A
104.24.45.192,3,3,0.00,220.30,0.00,N/A
172.65.250.192,3,3,0.00,220.44,0.00,N/A
104.27.1.199,3,3,0.00,220.47,0.00,N/A
104.29.158.119,3,3,0.00,220.49,0.00,N/A
104.21.40.134,3,3,0.00,220.50,0.00,N/A
104.18.197.89,3,3,0.00,220.70,0.00,N/A
104.19.127.147,3,3,0.00,220.85,0.00,N/A
104.21.201.13,3,3,0.00,220.93,0.00,N/A
104.21.200.12,3,3,0.00,220.93,0.00,N/A
104.17.216.52,3,3,0.00,220.96,0.00,N/A
104.27.96.63,3,3,0.00,220.99,0.00,N/A
172.65.42.208,3,3,0.00,221.06,0.00,N/A
162.159.15.233,3,3,0.00,221.25,0.00,N/A
104.20.41.87,3,3,0.00,221.25,0.00,N/A
172.65.212.213,3,3,0.00,221.31,0.00,N/A
104.20.47.164,3,3,0.00,221.32,0.00,N/A
104.18.71.62,3,3,0.00,221.32,0.00,N/A
172.67.91.99,3,3,0.00,221.33,0.00,N/A
172.67.166.245,3,3,0.00,221.39,0.00,N/A
104.18.129.117,3,3,0.00,221.45,0.00,N/A
104.27.9.102,3,3,0.00,221.45,0.00,N/A
104.19.132.170,3,3,0.00,221.46,0.00,N/A
172.65.24.248,3,3,0.00,221.49,0.00,N/A
198.41.222.49,3,3,0.00,221.53,0.00,N/A
104.24.188.44,3,3,0.00,221.60,0.00,N/A
104.16.128.104,3,3,0.00,221.75,0.00,N/A
104.24.201.180,3,3,0.00,221.79,0.00,N/A
172.65.204.20,3,3,0.00,221.80,0.00,N/A
172.65.103.226,3,3,0.00,221.81,0.00,N/A
104.25.243.35,3,3,0.00,221.88,0.00,N/A
172.67.229.162,3,3,0.00,221.94,0.00,N/A
172.64.88.51,3,3,0.00,222.02,0.00,N/A
104.18.136.21,3,3,0.00,222.07,0.00,N/A
172.65.173.181,3,3,0.00,222.14,0.00,N/A
172.65.254.94,3,3,0.00,222.19,0.00,N/A
172.66.2.127,3,3,0.00,222.26,0.00,N/A
104.19.60.10,3,3,0.00,222.36,0.00,N/A
104.16.236.38,3,3,0.00,222.40,0.00,N/A
172.67.85.147,3,3,0.00,222.40,0.00,N/A
104.16.93.98,3,3,0.00,222.42,0.00,N/A
172.65.223.77,3,3,0.00,222.44,0.00,N/A
104.25.7.194,3,3,0.00,222.53,0.00,N/A
172.67.211.130,3,3,0.00,222.63,0.00,N/A
104.18.83.204,3,3,0.00,222.63,0.00,N/A
104.27.35.228,3,3,0.00,222.69,0.00,N/A
162.159.7.105,3,3,0.00,222.71,0.00,N/A
104.16.143.93,3,3,0.00,222.77,0.00,N/A
104.16.224.57,3,3,0.00,222.77,0.00,N/A
198.41.211.128,3,3,0.00,222.88,0.00,N/A
104.19.181.147,3,3,0.00,222.94,0.00,N/A
104.25.150.205,3,3,0.00,222.99,0.00,N/A
172.65.148.55,3,3,0.00,223.05,0.00,N/A
172.67.236.27,3,3,0.00,223.22,0.00,N/A
172.66.47.94,3,3,0.00,223.36,0.00,N/A
172.67.94.11,3,3,0.00,223.38,0.00,N/A
104.17.99.226,3,3,0.00,223.39,0.00,N/A
172.67.231.202,3,3,0.00,223.48,0.00,N/A
104.21.118.220,3,3,0.00,223.55,0.00,N/A
104.18.160.238,3,3,0.00,223.60,0.00,N/A
104.31.16.166,3,3,0.00,223.67,0.00,N/A
104.19.204.214,3,3,0.00,223.81,0.00,N/A
172.65.43.46,3,3,0.00,223.87,0.00,N/A
172.65.69.67,3,3,0.00,223.90,0.00,N/A
172.64.156.114,3,3,0.00,224.07,0.00,N/A
172.65.240.210,3,3,0.00,224.20,0.00,N/A
104.17.40.7,3,3,0.00,224.25,0.00,N/A
104.18.231.210,3,3,0.00,224.37,0.00,N/A
104.19.35.230,3,3,0.00,224.38,0.00,N/A
162.159.13.21,3,3,0.00,224.39,0.00,N/A
172.67.149.240,3,3,0.00,224.39,0.00,N/A
104.21.64.99,3,3,0.00,224.53,0.00,N/A
104.19.141.104,3,3,0.00,224.58,0.00,N/A
108.162.194.62,3,3,0.00,224.59,0.00,N/A
104.27.81.153,3,3,0.00,224.70,0.00,N/A
172.65.216.145,3,3,0.00,224.75,0.00,N/A
104.18.222.120,3,3,0.00,224.87,0.00,N/A
104.17.49.10,3,3,0.00,224.89,0.00,N/A
172.64.235.77,3,3,0.00,224.90,0.00,N/A
104.19.196.223,3,3,0.00,224.94,0.00,N/A
104.25.77.170,3,3,0.00,224.94,0.00,N/A
104.25.176.153,3,3,0.00,224.95,0.00,N/A
172.66.197.104,3,3,0.00,225.22,0.00,N/A
104.16.241.245,3,3,0.00,225.24,0.00,N/A
104.16.30.167,3,3,0.00,225.34,0.00,N/A
104.25.107.108,3,3,0.00,225.36,0.00,N/A
104.18.137.142,3,3,0.00,225.38,0.00,N/A
108.162.196.203,3,3,0.00,225.40,0.00,N/A
104.21.51.155,3,3,0.00,225.42,0.00,N/A
104.18.99.242,3,3,0.00,225.45,0.00,N/A
104.25.82.209,3,3,0.00,225.46,0.00,N/A
104.16.108.109,3,3,0.00,225.58,0.00,N/A
104.18.199.127,3,3,0.00,225.58,0.00,N/A
172.67.239.211,3,3,0.00,225.62,0.00,N/A
104.19.70.210,3,3,0.00,225.62,0.00,N/A
104.21.9.116,3,3,0.00,225.64,0.00,N/A
104.27.44.207,3,3,0.00,225.69,0.00,N/A
172.65.22.41,3,3,0.00,225.74,0.00,N/A
104.25.154.219,3,3,0.00,225.76,0.00,N/A
172.66.202.23,3,3,0.00,225.77,0.00,N/A
104.18.82.166,3,3,0.00,225.86,0.00,N/A
104.21.86.181,3,3,0.00,225.88,0.00,N/A
104.17.237.167,3,3,0.00,225.91,0.00,N/A
104.24.73.242,3,3,0.00,226.00,0.00,N/A
104.17.76.249,3,3,0.00,226.16,0.00,N/A
104.25.75.219,3,3,0.00,226.16,0.00,N/A
172.64.152.251,3,3,0.00,226.25,0.00,N/A
104.18.48.240,3,3,0.00,226.27,0.00,N/A
172.67.155.187,3,3,0.00,226.28,0.00,N/A
104.16.225.52,3,3,0.00,226.30,0.00,N/A
172.65.91.66,3,3,0.00,226.40,0.00,N/A
104.16.159.236,3,3,0.00,226.40,0.00,N/A
104.24.52.176,3,3,0.00,226.45,0.00,N/A
104.24.46.120,3,3,0.00,226.53,0.00,N/A
162.159.212.108,3,3,0.00,226.62,0.00,N/A
104.21.80.74,3,3,0.00,226.73,0.00,N/A
104.18.51.96,3,3,0.00,226.77,0.00,N/A
104.17.97.9,3,3,0.00,226.85,0.00,N/A
104.18.194.97,3,3,0.00,226.89,0.00,N/A
104.27.118.119,3,3,0.00,226.90,0.00,N/A
104.18.245.160,3,3,0.00,226.92,0.00,N/A
104.19.147.157,3,3,0.00,226.99,0.00,N/A
104.21.39.50,3,3,0.00,227.15,0.00,N/A
162.159.198.142,3,3,0.00,227.16,0.00,N/A
104.17.203.141,3,3,0.00,227.18,0.00,N/A
104.18.140.150,3,3,0.00,227.21,0.00,N/A
104.21.41.141,3,3,0.00,227.21,0.00,N/A
104.18.184.210,3,3,0.00,227.24,0.00,N/A
172.64.151.104,3,3,0.00,227.31,0.00,N/A
104.21.20.41,3,3,0.00,227.40,0.00,N/A
104.17.44.57,3,3,0.00,227.49,0.00,N/A
104.25.206.17,3,3,0.00,227.49,0.00,N/A
104.27.30.127,3,3,0.00,227.52,0.00,N/A
104.21.117.22,3,3,0.00,227.53,0.00,N/A
172.65.14.229,3,3,0.00,227.53,0.00,N/A
104.17.13.216,3,3,0.00,227.54,0.00,N/A
104.24.32.30,3,3,0.00,227.54,0.00,N/A
104.21.196.108,3,3,0.00,227.56,0.00,N/A
172.65.7.237,3,3,0.00,227.60,0.00,N/A
172.67.165.52,3,3,0.00,227.60,0.00,N/A
172.67.238.15,3,3,0.00,227.71,0.00,N/A
172.65.220.138,3,3,0.00,227.71,0.00,N/A
104.27.52.195,3,3,0.00,227.75,0.00,N/A
104.16.201.109,3,3,0.00,227.77,0.00,N/A
104.16.255.27,3,3,0.00,227.81,0.00,N/A
104.24.150.194,3,3,0.00,227.81,0.00,N/A
104.19.231.82,3,3,0.00,227.86,0.00,N/A
162.159.1.241,3,3,0.00,227.87,0.00,N/A
104.21.71.96,3,3,0.00,227.93,0.00,N/A
104.17.250.103,3,3,0.00,227.95,0.00,N/A
172.65.128.11,3,3,0.00,227.95,0.00,N/A
104.24.211.21,3,3,0.00,227.96,0.00,N/A
104.20.59.53,3,3,0.00,227.99,0.00,N/A
104.16.103.71,3,3,0.00,228.04,0.00,N/A
104.20.35.39,3,3,0.00,228.06,0.00,N/A
172.66.44.171,3,3,0.00,228.09,0.00,N/A
104.16.85.173,3,3,0.00,228.10,0.00,N/A
104.19.69.69,3,3,0.00,228.10,0.00,N/A
104.16.247.41,3,3,0.00,228.12,0.00,N/A
104.24.40.216,3,3,0.00,228.14,0.00,N/A
104.19.7.160,3,3,0.00,228.14,0.00,N/A
104.18.216.72,3,3,0.00,228.17,0.00,N/A
104.16.82.170,3,3,0.00,228.22,0.00,N/A
104.27.112.95,3,3,0.00,228.24,0.00,N/A
104.24.164.119,3,3,0.00,228.27,0.00,N/A
104.19.238.171,3,3,0.00,228.30,0.00,N/A
104.21.195.160,3,3,0.00,228.31,0.00,N/A
104.16.193.216,3,3,0.00,228.35,0.00,N/A
104.24.61.80,3,3,0.00,228.39,0.00,N/A
104.17.70.34,3,3,0.00,228.41,0.00,N/A
172.65.163.119,3,3,0.00,228.45,0.00,N/A
172.67.249.232,3,3,0.00,228.48,0.00,N/A
104.24.94.21,3,3,0.00,228.61,0.00,N/A
172.65.248.114,3,3,0.00,228.72,0.00,N/A
172.65.54.236,3,3,0.00,228.78,0.00,N/A
104.18.229.116,3,3,0.00,228.83,0.00,N/A
104.17.231.180,3,3,0.00,228.89,0.00,N/A
104.21.124.61,3,3,0.00,228.90,0.00,N/A
104.16.220.19,3,3,0.00,228.96,0.00,N/A
172.65.11.151,3,3,0.00,229.00,0.00,N/A
172.67.124.14,3,3,0.00,229.02,0.00,N/A
172.65.0.196,3,3,0.00,229.08,0.00,N/A
104.29.137.136,3,3,0.00,229.16,0.00,N/A
104.20.10.220,3,3,0.00,229.17,0.00,N/A
104.16.100.174,3,3,0.00,229.23,0.00,N/A
104.17.221.141,3,3,0.00,229.25,0.00,N/A
